time,open,high,low,close,Candle high,Candle low,TBbox,BBbox,test BaseLine,test BaseLine,test_ema,Go Long,Go Short,Exit Long,Exit Short,Volume,Volume MA
1669227000,12003.25,12003.25,12003.25,12003.25,11791,11791,12275.75,12039.75,11905.999999999995,11906,11985.390690963653,0,0,0,0,1,1.25
1669236300,12080.25,12080.25,12080.25,12080.25,11805,11805,12275.75,12039.75,11935.533333333327,11935.533333333335,12004.362552770923,0,0,0,0,1,1.25
1669281600,12155,12155,12155,12155,12011.5,12011.5,12275.75,12039.75,11976.699999999995,11976.700000000003,12034.490042216737,0,0,0,0,1,1.25
1669302000,12162.5,12162.5,12162.5,12162.5,12021,12021,12275.75,12039.75,12017.033333333327,12017.033333333335,12060.09203377339,0,0,0,0,1,1.2
1669357500,12132,12132,12132,12132,12139.75,12139.75,12275.75,12039.75,12049.249999999995,12049.25,12074.473627018711,0,0,0,0,1,1.1
1669383600,12085,12085,12085,12085,12003.25,12003.25,12275.75,12039.75,12077.46666666666,12077.466666666667,12076.578901614968,0,0,0,0,1,1.1
1669386600,12045,12045,12045,12045,12080.25,12080.25,12162.5,12045,12097.433333333327,12097.433333333327,12070.263121291975,0,0,0,0,1,1.1
1669387500,12041,12041,12041,12041,12155,12155,12162.5,12045,12104.424999999994,12104.424999999994,12064.41049703358,0,0,0,0,1,1
1669388100,12035.75,12035.75,12035.75,12035.75,12162.5,12162.5,12162.5,12045,12102.408333333327,12102.408333333327,12058.678397626863,0,0,0,0,1,1
1669395000,12044,12044,12044,12044,12162.5,12162.5,12162.5,12045,12092.741666666661,12092.741666666661,12055.74271810149,0,0,0,0,2,1.05
1669395300,12044,12044,12044,12044,12044,12044,12162.5,12045,12081.96666666666,12081.96666666666,12053.394174481193,0,0,0,0,1,1.05
1669601700,11943.5,11943.5,11943.5,11943.5,12044,12044,12162.5,12045,12065.083333333327,12065.083333333328,12031.415339584953,0,0,0,0,1,1.05
1669626000,11943,11943,11943,11943,12044,12044,12162.5,12045,12046.108333333324,12046.108333333328,12013.732271667963,0,0,0,0,1,1.05
1669632300,11913,11913,11913,11913,12044,12044,12162.5,12045,12026.84166666666,12026.841666666662,11993.58581733437,0,0,0,0,6,1.3
1669646400,12020,12020,12020,12020,11913,11913,12162.5,12045,12010.999999999993,12011.000000000002,11998.868653867496,0,0,0,0,1,1.3
1669666500,11830,11830,11830,11830,11913,11913,12162.5,12045,11990.958333333327,11990.958333333328,11965.094923093997,0,0,0,0,1,1.3
1669738200,11750,11750,11750,11750,11913,11913,12162.5,12045,11965.833333333327,11965.833333333328,11922.075938475198,0,0,0,0,1,1.3
1669743600,11775,11775,11775,11775,11913,11913,12162.5,12045,11938.491666666661,11938.491666666661,11892.660750780158,0,0,0,0,1,1.3
1669767000,11749.75,11749.75,11749.75,11749.75,12020,12020,12162.5,12045,11908.974999999993,11908.974999999993,11864.078600624127,0,0,0,0,1,1.3
1669800300,11837.75,11837.75,11837.75,11837.75,12020,12020,12162.5,12045,11877.474999999993,11877.474999999993,11858.812880499301,0,0,0,0,1,1.3
1669838100,12114.75,12131,12114.75,12131,12020,12020,12162.5,12045,11856.808333333327,11856.266666666668,11913.25030439944,0,0,0,0,2,1.35
